crd,name,reference_id,compliance_flag,alert_count,file_path
113908,"SPIRE WEALTH MANAGEMENT, LLC",EN-023486,True,0,cache/EN-023486/FirmComplianceReport_EN-023486_v1_20250707.json
114310,PARAMETRIC PORTFOLIO ASSOCIATES,EN-023504,True,0,cache/EN-023504/FirmComplianceReport_EN-023504_v1_20250707.json
11458,EN-013743,EN-013743,False,4,cache/EN-013743/FirmComplianceReport_EN-013743_v1_20250707.json
115079,HBK CAPITAL MANAGEMENT,EN-023049,True,0,cache/EN-023049/FirmComplianceReport_EN-023049_v1_20250707.json
115475,"MILLER CAPITAL MANAGEMENT, INC.",EN-014849,True,0,cache/EN-014849/FirmComplianceReport_EN-014849_v1_20250707.json
115738,"PEREGRINE ASSET ADVISERS, INC.",EN-023257,True,0,cache/EN-023257/FirmComplianceReport_EN-023257_v1_20250707.json
115751,"HBC FINANCIAL SERVICES, PLLC",EN-015803,False,2,cache/EN-015803/FirmComplianceReport_EN-015803_v1_20250707.json
115751,"HBC FINANCIAL SERVICES, PLLC",EN-023472,False,2,cache/EN-023472/FirmComplianceReport_EN-023472_v1_20250707.json
115969,"BBJS FINANCIAL ADVISORS, LLC",EN-021250,True,0,cache/EN-021250/FirmComplianceReport_EN-021250_v1_20250707.json
116048,"TRUE NORTH ADVISORS, LLC",EN-017752,True,0,cache/EN-017752/FirmComplianceReport_EN-017752_v1_20250707.json
116218,PBMARES WEALTH MANAGEMENT LLC,EN-019481,True,0,cache/EN-019481/FirmComplianceReport_EN-019481_v1_20250707.json
116407,"WEALTH ENHANCEMENT ADVISORY SERVICES, LLC",EN-018028,True,0,cache/EN-018028/FirmComplianceReport_EN-018028_v1_20250707.json
116407,"WEALTH ENHANCEMENT ADVISORY SERVICES, LLC",EN-020684,True,0,cache/EN-020684/FirmComplianceReport_EN-020684_v1_20250707.json
116407,"WEALTH ENHANCEMENT ADVISORY SERVICES, LLC",EN-016485,True,0,cache/EN-016485/FirmComplianceReport_EN-016485_v1_20250707.json
116407,"WEALTH ENHANCEMENT ADVISORY SERVICES, LLC",EN-018154,True,0,cache/EN-018154/FirmComplianceReport_EN-018154_v1_20250707.json
116604,MARQUIS WEALTH MANAGEMENT GROUP,EN-116838,True,0,cache/EN-116838/FirmComplianceReport_EN-116838_v1_20250707.json
116889,THE ENTERPRISE INVESTMENT COMPANY,EN-117067,True,0,cache/EN-117067/FirmComplianceReport_EN-117067_v1_20250707.json
116909,RUBINBROWN ADVISORS LLC,EN-015034,True,0,cache/EN-015034/FirmComplianceReport_EN-015034_v1_20250707.json
117023,"STILES FINANCIAL SERVICES, INC.",EN-111385,True,0,cache/EN-111385/FirmComplianceReport_EN-111385_v1_20250707.json
117307,WHITNEY & COMPANY,EN-015818,True,0,cache/EN-015818/FirmComplianceReport_EN-015818_v1_20250707.json
117756,"SEQUOIA FINANCIAL GROUP, L.L.C.",EN-025355,True,0,cache/EN-025355/FirmComplianceReport_EN-025355_v1_20250707.json
117962,"PUNCH & ASSOCIATES INVESTMENT MANAGEMENT, INC.",EN-018672,True,0,cache/EN-018672/FirmComplianceReport_EN-018672_v1_20250707.json
118059,"ALKEON CAPITAL MANAGEMENT, LLC",EN-013679,True,0,cache/EN-013679/FirmComplianceReport_EN-013679_v1_20250707.json
118070,"HOWARD CAPITAL MANAGEMENT, INC.",EN-104417,True,0,cache/EN-104417/FirmComplianceReport_EN-104417_v1_20250707.json
118360,PIONEER FINANCIAL ADVISORS,test-ref-118360,True,0,cache/BIZ_118360/FirmComplianceReport_test-ref-118360_v1_20250729.json
118551,GERSTEIN FISHER,EN-023543,False,2,cache/EN-023543/FirmComplianceReport_EN-023543_v1_20250707.json
118608,ORBIMED ADVISORS LLC,EN-016756,True,0,cache/EN-016756/FirmComplianceReport_EN-016756_v1_20250707.json
119166,"KB FINANCIAL PARTNERS, LLC",EN-024091,False,2,cache/EN-024091/FirmComplianceReport_EN-024091_v1_20250707.json
